# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  PSUBD       0FFA     16    yes       -         mm        mm/m64    -
  PSUBSB      0FE8     16    yes       -         mm        mm/m64    -
  PSUBSW      0FE9     16    yes       -         mm        mm/m64    -
  PSUBUSB     0FD8     16    yes       -         mm        mm/m64    -
  PSUBUSW     0FD9     16    yes       -         mm        mm/m64    - 
  PUNPCKHBW   0F68     16    yes       -         mm        mm/m64    -
  PUNPCKHWD   0F69     16    yes       -         mm        mm/m64    -
  PUNPCKHDQ   0F6A     16    yes       -         mm        mm/m64    -
  PUNPCKLBW   0F60     16    yes       -         mm        mm/m64    -
  PUNPCKLWD   0F61     16    yes       -         mm        mm/m64    -
  PUNPCKLDQ   0F62     16    yes       -         mm        mm/m64    -
  PUSH        FF        8    yes       6         r/m32     -         -
  PUSH        50        5    -         -         reg32     -         -
  PUSH        6A        8    -         -         imm8      -         -
  PUSH        68        8    -         -         imm32     -         -
  PUSH        0E        8    -         -         CS        -         -
  PUSH        16        8    -         -         SS        -         -
  PUSH        1E        8    -         -         DS        -         -
  PUSH        06        8    -         -         ES        -         -
  PUSH        0FA0     16    -         -         FS        -         -
  PUSH        0FA8     16    -         -         GS        -         -
  PUSHAD      60        8    -         -         -         -         -
  PUSHFD      9C        8    -         -         -         -         -
  PXOR        0FEF     16    yes       -         mm        mm/m64    -
  RCL         D0        8    yes       2         r/m8      1         -
  RCL         D2        8    yes       2         r/m8      CL        -
  RCL         C0        8    yes       2         r/m8      imm8      -
  RCL         D1        8    yes       2         r/m32     1         -
  RCL         D3        8    yes       2         r/m32     CL        -
  RCL         C1        8    yes       2         r/m32     imm8      -
  RCR         D0        8    yes       3         r/m8      1         -
  RCR         D2        8    yes       3         r/m8      CL        -
  RCR         C0        8    yes       3         r/m8      imm8      -
  RCR         D1        8    yes       3         r/m32     1         -
  RCR         D3        8    yes       3         r/m32     CL        -
  RCR         C1        8    yes       3         r/m32     imm8      -
